layer,head,pooled_blk_r,pooled_imp_r,blk_r_p,blk_lo_p,blk_hi_p,blk_r_m,blk_lo_m,blk_hi_m,imp_r_p,imp_r_m,sd_blk_p,sd_blk_m,mu_blk_p,mu_blk_m,pass_blk_010,pass_imp_010,surv_blk_att01,surv_imp_att01
29,23,-0.321808,0.012002,-0.088376,-0.234693,0.051819,-0.322708,-0.444478,-0.199744,0.055976,-0.262421,0.063666,0.081792,0.089722,0.038642,False,False,True,False
25,26,-0.321802,0.141060,-0.147720,-0.302651,0.015875,-0.284613,-0.376162,-0.196546,0.073879,-0.020789,0.020683,0.024705,0.016797,0.022474,False,False,True,True
27,19,-0.063655,0.321623,-0.090961,-0.213553,0.034953,-0.072364,-0.158291,-0.014126,0.393048,-0.012688,0.019204,0.031716,-0.001836,-0.000685,False,False,False,True
26,5,-0.320489,0.239077,-0.239947,-0.395570,-0.092359,-0.211124,-0.335519,-0.075992,0.075725,0.232321,0.022038,0.020806,0.031778,0.031286,True,False,True,True
27,14,0.085467,0.320411,0.377348,0.278799,0.461393,0.137695,0.000238,0.280361,0.218888,0.232963,0.018023,0.016351,0.008404,0.012969,True,True,False,True
11,17,0.249916,0.319713,-0.057364,-0.163541,0.078498,0.200623,0.095181,0.306543,0.089695,0.345875,0.062769,0.060411,-0.238200,-0.227405,False,False,True,True
17,17,-0.319592,-0.100283,-0.342310,-0.462008,-0.210733,-0.135520,-0.265943,0.005045,-0.140735,-0.042285,0.019231,0.018881,0.033912,0.035145,False,False,True,False
26,1,-0.319459,-0.035112,-0.219479,-0.315028,-0.125582,-0.277545,-0.434771,-0.099267,-0.008397,-0.270207,0.015816,0.017290,0.007363,0.007186,True,False,True,False
2,22,0.318457,0.040594,0.193330,0.060539,0.329244,0.251783,0.077685,0.411395,0.013186,-0.340339,0.051780,0.054670,-0.036498,-0.044486,True,False,True,False
6,15,0.243242,0.318197,0.046455,-0.099431,0.204660,0.070215,-0.039622,0.190117,0.162532,0.307448,0.033964,0.032917,-0.389660,-0.389916,False,True,True,True
27,3,-0.128736,0.317957,-0.114030,-0.254838,0.034318,0.014646,-0.112958,0.122676,0.225254,0.247655,0.009637,0.009888,0.003498,0.004151,False,True,True,True
9,23,-0.317271,0.044083,-0.114639,-0.300619,0.065229,-0.306345,-0.463284,-0.151416,-0.083237,-0.276887,0.057439,0.057743,0.067787,0.054364,False,False,True,False
27,30,-0.316860,0.068467,-0.173640,-0.304471,-0.048248,-0.266255,-0.397464,-0.131837,0.026695,-0.209096,0.042671,0.047467,0.038950,0.026318,True,False,True,False
4,24,0.280179,0.316349,0.334823,0.240781,0.431797,0.144378,0.045325,0.259737,0.074862,0.339177,0.020685,0.019265,-0.098877,-0.099325,True,False,True,True
15,26,0.173865,0.312368,-0.112623,-0.248045,0.018025,-0.168832,-0.277023,-0.057181,0.220801,0.194759,0.170113,0.174454,-0.452335,-0.445560,False,True,True,True
31,27,-0.311918,0.161522,0.046355,-0.065334,0.140677,-0.444837,-0.536138,-0.350403,-0.116074,0.140060,0.032980,0.033037,0.048578,0.053655,False,False,True,True
28,14,-0.311482,-0.098063,-0.262181,-0.388490,-0.121125,-0.162877,-0.329387,0.009307,-0.130879,-0.213413,0.030709,0.030161,0.040269,0.055501,False,False,True,False
7,19,0.310703,0.290000,0.160911,0.000983,0.320740,0.247085,0.120154,0.373205,0.130672,0.198303,0.070740,0.080850,-0.107145,-0.131532,True,False,True,True
20,11,-0.310202,0.028727,-0.328026,-0.461331,-0.208497,-0.257389,-0.352055,-0.164479,-0.044465,-0.259328,0.036412,0.050267,0.031581,-0.017342,True,False,True,False
2,31,0.226158,0.308284,0.206264,0.095047,0.313144,-0.196568,-0.303996,-0.083145,0.067483,0.328731,0.008670,0.009010,-0.028554,-0.028561,False,False,True,True
11,16,0.285274,0.308079,-0.000297,-0.123396,0.143119,0.342434,0.228559,0.459073,0.028046,0.363665,0.040850,0.037758,-0.092684,-0.093294,False,False,True,True
21,17,-0.244389,0.307366,-0.237867,-0.408274,-0.046854,0.025564,-0.089554,0.138367,0.168819,0.299118,0.013904,0.013514,0.014352,0.016451,False,True,True,True
8,17,-0.306730,0.169762,-0.334297,-0.440057,-0.214590,-0.152806,-0.247736,-0.062689,-0.125713,0.076785,0.051901,0.050702,0.018308,0.024079,True,False,True,True
23,0,0.180896,0.306591,-0.069496,-0.191189,0.071952,0.367155,0.264083,0.465141,0.108641,0.289184,0.005574,0.007092,0.000062,-0.000161,False,False,True,True
0,0,0.242982,0.306449,0.053282,-0.075615,0.173599,0.183409,0.079486,0.290988,0.045561,0.323273,0.013752,0.016555,-0.480925,-0.496757,False,False,True,True
3,24,0.306288,0.263701,0.103152,-0.002893,0.216361,0.290551,0.192463,0.386491,-0.107611,0.269818,0.011963,0.013678,-0.021452,-0.025973,False,False,True,True
19,15,-0.305093,-0.025040,-0.336431,-0.461984,-0.207800,-0.072056,-0.267260,0.124393,0.220119,0.015391,0.224631,0.214453,0.402805,0.341396,False,False,True,False
24,6,-0.304985,0.190886,-0.235505,-0.400200,-0.055190,-0.163653,-0.244913,-0.082915,0.358876,-0.082270,0.102356,0.118262,0.115633,0.139751,True,False,True,True
